CFL,H1Pres,HDivVelo,L2Pres,L2Velo,LinfPres,LinfVelo,Order,dt
0.1,0.028443328267616218,0.6009640695726151,0.028443328267616218,0.6009640695726133,0.009010196097788952,0.013274216912510094,1,0.004908738521234052
0.1,0.12841460366871674,0.0006703785905590531,0.05747655136400741,0.000670262626481628,0.018353924928254984,1.4822477535956363e-05,2,0.001227184630308513
0.1,0.128655015062306,0.0003509970452528042,0.05750677304165585,0.00035099508360567023,0.018305080409607027,7.756208050465133e-06,3,0.000545415391248228
0.1,0.12862410483978354,0.00018696086710627018,0.05752241210497493,0.00018696086708873944,0.018309936329881427,4.13055947728197e-06,4,0.00030679615757712823
