Order,dt,LinfPres,LinfVelo,L2Pres,L2Velo,H1Pres,HDivVelo
1,0.09817477042468103,0.00017352001718745185,3.941997514075758e-07,0.00038041245170152666,9.782179590565125e-06,0.00038041245170152666,9.782179590565127e-06
2,0.02454369260617026,0.009443265155931257,0.013116612289359285,0.029572418947473342,0.5931139308637688,0.06577363930944495,0.5931139308637658
3,0.01090830782496456,0.009236554635192582,0.01319113492266482,0.029017237957983968,0.5969628155635123,0.06491787896906775,0.5969628155635167
4,0.006135923151542565,0.009268009712940525,0.013281825797892177,0.029116326971060306,0.6010668833789924,0.06510613295950976,0.6010668833789924
